Handle,Variant SKU,Variant Barcode,Title,Command,Variant Command,Tags Command,Body (HTML),Vendor,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Image,Image Src,Image Alt Text,Image Position,SEO Title,SEO Description,Status,Variant Country of Origin,Type: Standard ID,Type: Standard Name,Type: Standard,Metafield: custom.compatible_with [list.single_line_text_field],Metafield: custom.multiple_material [list.single_line_text_field],Metafield: custom.storrelse [single_line_text_field],Variant Metafield: custom.farve [list.color],Variant Metafield: color.string [single_line_text_field],Metafield: mm-google-shopping.custom_product [string]
LCW00-00-011,LCW00-00-011-1,5714011891940,Mega sejt Fitbit Versa Lite Ægte Læder Urrem,MERGE,MERGE,MERGE," Elegant og blød urrem i ægte læder, der passer til perfekt til dit smartwatch. Remmen er behagelig at have på, fordi det er lavet af et godt materiale, der også er holdbart.<br/><br/><b>Mål:</b><br/>Længde: 123.85mm<br/><br/><b><i><b>Bemærk</b> at uret ikke følger med.</i></b>",Universal,"Universal, Fitbit, Fitbit Versa Lite, Fitbit Versa Series",Serie,1,,,,,100,shopify,3,deny,manual,149,189,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1.jpg,#serie_1,1,,,active,SE,342,Watch Bands,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"Universal, Fitbit, Fitbit Versa Lite, Fitbit Versa Series",Ægte Læder,One-size,,,false
LCW00-00-011,LCW00-00-011-2,5714011891957,,MERGE,MERGE,MERGE,,,,Serie,2,,,,,100,shopify,2,deny,manual,149,189,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-2.jpg,#serie_2,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-011,LCW00-00-011-3,5714011891964,,MERGE,MERGE,MERGE,,,,Serie,3,,,,,100,shopify,1,deny,manual,149,189,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-3.jpg,#serie_3,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-011,LCW00-00-011-4,5714011891971,,MERGE,MERGE,MERGE,,,,Serie,4,,,,,100,shopify,2,deny,manual,149,189,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-4.jpg,#serie_4,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-011,LCW00-00-011-5,5714011891988,,MERGE,MERGE,MERGE,,,,Serie,5,,,,,100,shopify,3,deny,manual,149,189,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-5.jpg,#serie_5,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-018,LCW00-00-018-1,5714011957721,Superflot Universal Ægte Læder Urrem,MERGE,MERGE,MERGE,"Flot rem til dit ur. En rem i ægte læder til dit smartwatch, der både er praktisk og holdbar. Lavet i ergonomisk design, så remmen er meget komfortabel at have på. En god erstatningsrem til din gamle urrem, eller som din nye primære rem.<br/><br/><b>Mål:</b><br/>Rem længde: 109mm<br/>Rem længde: 109mm<br/>Rem længde: 83mm<br/>Rem længde: 83mm<br/>Bredde: 22mm<br/><br/><b><i><b>Bemærk venligst:</b> der medfølger ikke et smartwatch med. Kun remmen.</i></b>",Universal,"Universal, 22mm",Serie,1,,,,,100,shopify,0,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-1.jpg,#serie_1,1,,,active,SE,342,Watch Bands,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"Universal, 22mm",Ægte Læder,One-size,,,false
LCW00-00-018,LCW00-00-018-2,5714011957738,,MERGE,MERGE,MERGE,,,,Serie,2,,,,,100,shopify,1,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-2.jpg,#serie_2,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-018,LCW00-00-018-3,5714011957745,,MERGE,MERGE,MERGE,,,,Serie,3,,,,,100,shopify,1,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-3.jpg,#serie_3,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-024,LCW00-00-024-1,5714864022065,Vildt cool Universal Ægte Læder Urrem,MERGE,MERGE,MERGE,"Her har du fundet den urrem, som du er på udkig efter. Elegant og blød urrem i ægte læder, der passer til perfekt til dit smartwatch. Remmen er behagelig at have på, fordi det er lavet af et godt materiale, der også er holdbart.<br/><b><i><b>Bemærk venligst:</b> der medfølger ikke et smartwatch med. Kun remmen.</i></b>",Universal,"Universal, Huawei Watch, Huawei Watch GT, Huawei Watch GT Series, Samsung, Samsung Galaxy Watch (46mm)",Serie,1,,,,,100,shopify,1,deny,manual,269,339,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1_55.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1_55.jpg,#serie_1,1,,,active,SE,342,Watch Bands,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"Universal, Huawei Watch, Huawei Watch GT, Huawei Watch GT Series, Samsung, Samsung Galaxy Watch (46mm)",Ægte Læder,One-size,,,false
LCW00-00-024,LCW00-00-024-2,5714864022072,,MERGE,MERGE,MERGE,,,,Serie,2,,,,,100,shopify,6,deny,manual,269,339,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2_56.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2_56.jpg,#serie_2,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-024,LCW00-00-024-3,5714864022089,,MERGE,MERGE,MERGE,,,,Serie,3,,,,,100,shopify,2,deny,manual,269,339,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3_57.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3_57.jpg,#serie_3,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-024,LCW00-00-024-4,5714864022096,,MERGE,MERGE,MERGE,,,,Serie,4,,,,,100,shopify,3,deny,manual,269,339,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4_58.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4_58.jpg,#serie_4,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-024,LCW00-00-024-5,5714864022102,,MERGE,MERGE,MERGE,,,,Serie,5,,,,,100,shopify,1,deny,manual,269,339,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5_59.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5_59.jpg,#serie_5,1,,,active,SE,,,,,,One-size,,,false
LCW00-00-024,LCW00-00-024-6,5714864022119,,MERGE,MERGE,MERGE,,,,Serie,6,,,,,100,shopify,2,deny,manual,269,339,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6_60.jpg,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6_60.jpg,#serie_6,1,,,active,SE,,,,,,One-size,,,false
